medicine_id,generic_name,brand_name,manufacturer,category,unit_price_LKR,restock_threshold,lead_time_days,batch_id,manufacture_date,expiry_date,date,sales_qty,stock_qty,month,day_of_week,is_weekend
1,Paracetamol,Panadol,GSK,Analgesic,137.2,100,3,B1-2,10/18/2024,10/18/2027,1/1/2025,37,3830,1,Wednesday,0
2,Paracetamol,Calpol,GSK,Analgesic,159.93,120,3,B2-1,10/15/2024,10/15/2027,1/1/2025,25,2185,1,Wednesday,0
3,Paracetamol,SPMC Paracetamol,SPMC,Analgesic,114.11,100,5,B3-2,10/28/2024,10/28/2027,1/1/2025,27,3805,1,Wednesday,0
4,Vitamin C,Cevit,SPMC,Supplement,73.99,120,3,B4-1,11/8/2024,11/8/2026,1/1/2025,32,3606,1,Wednesday,0
5,Vitamin C,Redoxon,Bayer,Supplement,174.23,100,7,B5-1,11/6/2024,11/6/2026,1/1/2025,32,3124,1,Wednesday,0
6,Vitamin C,Vitamin C Tablets,SPMC,Supplement,152.72,120,7,B6-2,10/20/2024,10/20/2026,1/1/2025,30,3755,1,Wednesday,0
7,Atorvastatin,Lipitor,Pfizer,Cholesterol,159.24,80,5,B7-3,10/10/2024,10/10/2027,1/1/2025,20,2076,1,Wednesday,0
8,Atorvastatin,Atorva,SPMC,Cholesterol,243.93,120,7,B8-1,10/28/2024,10/28/2027,1/1/2025,23,1323,1,Wednesday,0
9,Atorvastatin,Atorvastatin Tablets,SPMC,Cholesterol,107.57,100,7,B9-1,10/9/2024,10/9/2027,1/1/2025,10,1896,1,Wednesday,0
10,Amlodipine,Norvasc,Pfizer,Blood Pressure,75.43,120,3,B10-1,10/20/2024,10/20/2027,1/1/2025,8,2109,1,Wednesday,0
11,Amlodipine,Amlodipine Tablets,SPMC,Blood Pressure,95.2,120,5,B11-3,10/17/2024,10/17/2027,1/1/2025,8,1772,1,Wednesday,0
12,Amlodipine,Amlodac,Local,Blood Pressure,119.97,120,3,B12-1,10/20/2024,10/20/2027,1/1/2025,14,2365,1,Wednesday,0
13,Metformin,Glucophage,Merck,Diabetes,90.35,120,5,B13-1,10/17/2024,10/17/2027,1/1/2025,18,1524,1,Wednesday,0
14,Metformin,Metformin Tablets,SPMC,Diabetes,208.62,100,7,B14-1,10/19/2024,10/19/2027,1/1/2025,12,2208,1,Wednesday,0
15,Metformin,Glycomet,USV,Diabetes,208.73,100,5,B15-2,11/1/2024,11/1/2027,1/1/2025,18,2078,1,Wednesday,0
16,Amoxicillin,Augmentin,GSK,Antibiotic,82.46,120,3,B16-3,11/6/2024,11/6/2026,1/1/2025,25,2052,1,Wednesday,0
17,Amoxicillin,Amoxicillin Capsules,SPMC,Antibiotic,242.91,80,3,B17-1,11/13/2024,11/13/2026,1/1/2025,22,1774,1,Wednesday,0
18,Amoxicillin,Amoxil,GSK,Antibiotic,118.32,80,3,B18-3,10/25/2024,10/25/2026,1/1/2025,9,1870,1,Wednesday,0
19,Chlorphenamine,Piriton,GSK,Allergy,135.51,80,7,B19-1,10/22/2024,10/22/2027,1/1/2025,8,1657,1,Wednesday,0
20,Chlorphenamine,Chlorphenamine Tablets,SPMC,Allergy,205.31,120,5,B20-1,11/17/2024,11/17/2027,1/1/2025,10,1211,1,Wednesday,0
21,Chlorphenamine,Allermine,Local,Allergy,240.75,120,3,B21-3,10/12/2024,10/12/2027,1/1/2025,8,966,1,Wednesday,0
22,Omeprazole,Losec,AstraZeneca,Gastritis,239.62,80,3,B22-2,11/3/2024,11/3/2027,1/1/2025,21,2507,1,Wednesday,0
23,Omeprazole,Omeprazole Capsules,SPMC,Gastritis,153.03,120,5,B23-1,10/13/2024,10/13/2027,1/1/2025,20,2020,1,Wednesday,0
24,Omeprazole,Omez,Dr Reddy,Gastritis,199.33,100,7,B24-1,10/13/2024,10/13/2027,1/1/2025,18,1601,1,Wednesday,0
25,Losartan,Cozaar,MSD,Blood Pressure,227.66,120,3,B25-2,10/12/2024,10/12/2027,1/1/2025,10,2124,1,Wednesday,0
26,Losartan,Losartan Tablets,SPMC,Blood Pressure,190.41,80,7,B26-2,11/8/2024,11/8/2027,1/1/2025,12,1565,1,Wednesday,0
27,Losartan,Losar,Local,Blood Pressure,146.2,80,3,B27-1,11/23/2024,11/23/2027,1/1/2025,7,2553,1,Wednesday,0
28,Salbutamol,Ventolin,GSK,Asthma,135.2,100,5,B28-3,10/18/2024,10/18/2027,1/1/2025,13,1358,1,Wednesday,0
29,Salbutamol,Salbutamol Tablets,SPMC,Asthma,236.53,120,7,B29-1,11/7/2024,11/7/2027,1/1/2025,12,2332,1,Wednesday,0
30,Salbutamol,Asthalin,Cipla,Asthma,153.49,100,7,B30-1,11/21/2024,11/21/2027,1/1/2025,23,1817,1,Wednesday,0
1,Paracetamol,Panadol,GSK,Analgesic,137.2,100,3,B1-2,10/18/2024,10/18/2027,1/2/2025,27,3803,1,Thursday,0
2,Paracetamol,Calpol,GSK,Analgesic,159.93,120,3,B2-1,10/15/2024,10/15/2027,1/2/2025,16,2169,1,Thursday,0
3,Paracetamol,SPMC Paracetamol,SPMC,Analgesic,114.11,100,5,B3-2,10/28/2024,10/28/2027,1/2/2025,16,3789,1,Thursday,0
4,Vitamin C,Cevit,SPMC,Supplement,73.99,120,3,B4-1,11/8/2024,11/8/2026,1/2/2025,23,3583,1,Thursday,0
5,Vitamin C,Redoxon,Bayer,Supplement,174.23,100,7,B5-1,11/6/2024,11/6/2026,1/2/2025,27,3097,1,Thursday,0
6,Vitamin C,Vitamin C Tablets,SPMC,Supplement,152.72,120,7,B6-2,10/20/2024,10/20/2026,1/2/2025,34,3721,1,Thursday,0
7,Atorvastatin,Lipitor,Pfizer,Cholesterol,159.24,80,5,B7-3,10/10/2024,10/10/2027,1/2/2025,15,2061,1,Thursday,0
8,Atorvastatin,Atorva,SPMC,Cholesterol,243.93,120,7,B8-1,10/28/2024,10/28/2027,1/2/2025,15,1308,1,Thursday,0
9,Atorvastatin,Atorvastatin Tablets,SPMC,Cholesterol,107.57,100,7,B9-1,10/9/2024,10/9/2027,1/2/2025,19,1877,1,Thursday,0
10,Amlodipine,Norvasc,Pfizer,Blood Pressure,75.43,120,3,B10-1,10/20/2024,10/20/2027,1/2/2025,24,2085,1,Thursday,0
11,Amlodipine,Amlodipine Tablets,SPMC,Blood Pressure,95.2,120,5,B11-3,10/17/2024,10/17/2027,1/2/2025,25,1747,1,Thursday,0
